Gene stable ID,Gene name,Human gene name,Human homology type
ENSMFAG00000040782,PSMD6,PSMD6,ortholog_one2one
ENSMFAG00000048196,,,
ENSMFAG00000040175,MCHR2,MCHR2,ortholog_one2one
ENSMFAG00000025264,C1QTNF7,C1QTNF7,ortholog_one2one
ENSMFAG00000062009,GATAD1,GATAD1,ortholog_one2one
ENSMFAG00000035636,HIBADH,HIBADH,ortholog_one2one
ENSMFAG00000053099,Metazoa_SRP,Metazoa_SRP,ortholog_one2one
ENSMFAG00000003954,MPC1,MPC1,ortholog_one2one
ENSMFAG00000057340,MYLK4,MYLK4,ortholog_one2one
ENSMFAG00000051240,,,ortholog_one2one
ENSMFAG00000010877,ZBTB12,ZBTB12,ortholog_one2one
ENSMFAG00000057487,,,
ENSMFAG00000038153,KLC4,KLC4,ortholog_one2one
ENSMFAG00000059335,,,
ENSMFAG00000047636,Metazoa_SRP,,
ENSMFAG00000003170,HSPA4L,HSPA4L,ortholog_one2one
ENSMFAG00000060028,,RIDA,ortholog_one2many
ENSMFAG00000056832,,,
ENSMFAG00000049964,,,
ENSMFAG00000016340,U3,U3,ortholog_one2one
ENSMFAG00000053283,,,
ENSMFAG00000000670,PRKAG2,PRKAG2,ortholog_one2one
ENSMFAG00000002702,PRICKLE2,PRICKLE2,ortholog_one2one
ENSMFAG00000039956,SFT2D1,SFT2D1,ortholog_one2one
ENSMFAG00000056940,EVX1,EVX1,ortholog_one2one
ENSMFAG00000043321,FBXL5,FBXL5,ortholog_one2one
ENSMFAG00000052595,Metazoa_SRP,,
ENSMFAG00000039716,HOXA13,HOXA13,ortholog_one2one
ENSMFAG00000002610,RING1,RING1,ortholog_one2one
ENSMFAG00000033486,SRPK1,SRPK1,ortholog_one2one
ENSMFAG00000059048,,PRR18,ortholog_one2one
ENSMFAG00000007386,ADCK2,ADCK2,ortholog_one2one
ENSMFAG00000042460,GRHL3,GRHL3,ortholog_one2one
ENSMFAG00000044467,HOXA11,HOXA11,ortholog_one2one
ENSMFAG00000049559,,,
ENSMFAG00000050493,Metazoa_SRP,,
ENSMFAG00000016238,,,
ENSMFAG00000012035,U6,RNU6-153P,ortholog_one2one
ENSMFAG00000054151,,,
ENSMFAG00000006594,Y_RNA,,
ENSMFAG00000009102,,SNORA77B,ortholog_one2one
ENSMFAG00000040224,ANKIB1,ANKIB1,ortholog_one2one
ENSMFAG00000000953,HOXA10,HOXA10,ortholog_one2one
ENSMFAG00000049671,ATP6V1F,ATP6V1F,ortholog_one2one
ENSMFAG00000038848,SLC39A7,SLC39A7,ortholog_one2one
ENSMFAG00000064719,PRDM13,PRDM13,ortholog_one2one
ENSMFAG00000030026,TBXT,TBXT,ortholog_one2one
ENSMFAG00000046296,LAX1,LAX1,ortholog_one2one
ENSMFAG00000057082,Metazoa_SRP,Metazoa_SRP,ortholog_one2one
ENSMFAG00000013812,MIR196B,MIR196B,ortholog_one2one
ENSMFAG00000038017,SPMIP1,SPMIP1,ortholog_one2one
ENSMFAG00000001955,,,
ENSMFAG00000048730,,,
ENSMFAG00000061335,,,
ENSMFAG00000037332,HSD17B8,HSD17B8,ortholog_one2one
ENSMFAG00000048640,,,
ENSMFAG00000041407,HOXA9,HOXA9,ortholog_one2one
ENSMFAG00000051623,U6,RNU6-730P,ortholog_one2one
ENSMFAG00000063037,Metazoa_SRP,RN7SL489P,ortholog_many2many
ENSMFAG00000063037,Metazoa_SRP,RN7SL327P,ortholog_many2many
ENSMFAG00000063037,Metazoa_SRP,RN7SL853P,ortholog_many2many
ENSMFAG00000063037,Metazoa_SRP,RN7SL429P,ortholog_many2many
ENSMFAG00000002410,,,
ENSMFAG00000048759,,,
ENSMFAG00000030903,CCNC,CCNC,ortholog_one2one
ENSMFAG00000057273,,,
ENSMFAG00000037938,MRPL2,MRPL2,ortholog_one2one
ENSMFAG00000062371,,,
ENSMFAG00000050914,IFNLR1,IFNLR1,ortholog_one2one
ENSMFAG00000058004,HOXA7,HOXA7,ortholog_one2one
ENSMFAG00000061941,,,
ENSMFAG00000003583,RXRB,RXRB,ortholog_one2one
ENSMFAG00000009040,Metazoa_SRP,RN7SL771P,ortholog_one2one
ENSMFAG00000060967,,,
ENSMFAG00000056570,Metazoa_SRP,,
ENSMFAG00000030075,HOXA6,HOXA6,ortholog_one2one
ENSMFAG00000003997,,ZC3H11A,ortholog_one2many
ENSMFAG00000003997,,ZC3H11B,ortholog_one2many
ENSMFAG00000003997,,ZC3H11C,ortholog_one2many
ENSMFAG00000003312,PLK4,PLK4,ortholog_one2one
ENSMFAG00000048050,,,
ENSMFAG00000054290,,,
ENSMFAG00000032125,EHMT2,EHMT2,ortholog_one2one
ENSMFAG00000061184,HOXA5,HOXA5,ortholog_one2one
ENSMFAG00000035103,CC2D2A,CC2D2A,ortholog_one2one
ENSMFAG00000035427,KCP,KCP,ortholog_one2one
ENSMFAG00000019483,Y_RNA,,
ENSMFAG00000048116,NDUFB2,NDUFB2,ortholog_one2one
ENSMFAG00000038265,HOXA4,HOXA4,ortholog_one2one
ENSMFAG00000053045,,,
ENSMFAG00000031316,GMDS,GMDS,ortholog_one2one
ENSMFAG00000040079,,,
ENSMFAG00000000068,IL22RA1,IL22RA1,ortholog_one2one
ENSMFAG00000049231,,,
ENSMFAG00000042059,TSTD3,,
ENSMFAG00000015895,U8,U8,ortholog_one2one
ENSMFAG00000053957,HOXA3,HOXA3,ortholog_one2one
ENSMFAG00000046132,PDE10A,PDE10A,ortholog_one2one
ENSMFAG00000052700,,,
ENSMFAG00000045540,,,
ENSMFAG00000058905,HLA-DOA,HLA-DOA,ortholog_one2one
ENSMFAG00000000432,FBXL7,FBXL7,ortholog_one2one
ENSMFAG00000056575,,,
ENSMFAG00000011378,Y_RNA,Y_RNA,ortholog_one2one
ENSMFAG00000048346,Metazoa_SRP,,
ENSMFAG00000048072,Metazoa_SRP,,
ENSMFAG00000039994,,,
ENSMFAG00000040635,HOXA2,HOXA2,ortholog_one2one
ENSMFAG00000064799,Metazoa_SRP,,
ENSMFAG00000065450,,,
ENSMFAG00000051202,Metazoa_SRP,,
ENSMFAG00000037942,,,
ENSMFAG00000033207,,,
ENSMFAG00000034472,HGF,HGF,ortholog_one2one
ENSMFAG00000049246,U6,,
ENSMFAG00000062473,,,
ENSMFAG00000005908,MIR887,MIR887,ortholog_one2one
ENSMFAG00000033257,KRIT1,KRIT1,ortholog_one2one
ENSMFAG00000049436,,,
ENSMFAG00000052132,,,
ENSMFAG00000051244,,,
ENSMFAG00000055032,,,
ENSMFAG00000004301,U6,RNU6-604P,ortholog_one2one
ENSMFAG00000032765,SOX13,SOX13,ortholog_one2one
ENSMFAG00000001452,FILIP1,FILIP1,ortholog_one2one
ENSMFAG00000035620,MYOM3,MYOM3,ortholog_one2one
ENSMFAG00000018520,Metazoa_SRP,RN7SL352P,ortholog_one2one
ENSMFAG00000003905,LHFPL5,LHFPL5,ortholog_one2one
ENSMFAG00000058650,,,
ENSMFAG00000034381,HOXA1,HOXA1,ortholog_one2one
ENSMFAG00000038745,USP45,USP45,ortholog_one2one
ENSMFAG00000036369,FOXF2,FOXF2,ortholog_one2one
ENSMFAG00000059789,,,
ENSMFAG00000039728,,,
ENSMFAG00000025170,,MAD2L1,ortholog_one2many
ENSMFAG00000062586,FOXQ1,FOXQ1,ortholog_one2one
ENSMFAG00000056600,,,
ENSMFAG00000051115,,,
ENSMFAG00000015468,U6,RNU6-1338P,ortholog_one2one
ENSMFAG00000049286,Metazoa_SRP,,
ENSMFAG00000044831,GALNTL5,GALNTL5,ortholog_one2one
ENSMFAG00000055652,,,
ENSMFAG00000013858,U1,RNU1-34P,ortholog_one2one
ENSMFAG00000000571,ETNK2,ETNK2,ortholog_one2one
ENSMFAG00000043616,IRF5,IRF5,ortholog_one2one
ENSMFAG00000046269,CUL7,CUL7,ortholog_one2one
ENSMFAG00000039538,,CLPSL1,ortholog_one2one
ENSMFAG00000001069,BRAF,BRAF,ortholog_one2one
ENSMFAG00000036382,ADAMTS9,ADAMTS9,ortholog_one2one
ENSMFAG00000020705,U3,U3,ortholog_one2one
ENSMFAG00000051603,,,
ENSMFAG00000053023,,,
ENSMFAG00000041066,SKAP2,SKAP2,ortholog_one2one
ENSMFAG00000058196,ZNF622,ZNF622,ortholog_one2one
ENSMFAG00000047792,,,
ENSMFAG00000062694,,,
ENSMFAG00000047381,,,
ENSMFAG00000051585,,,
ENSMFAG00000058416,,,
ENSMFAG00000062942,,,
ENSMFAG00000048711,Metazoa_SRP,RN7SL510P,ortholog_one2many
ENSMFAG00000048711,Metazoa_SRP,Metazoa_SRP,ortholog_one2many
ENSMFAG00000032600,LRRD1,LRRD1,ortholog_one2one
ENSMFAG00000019141,Metazoa_SRP,Metazoa_SRP,ortholog_one2one
ENSMFAG00000057456,,,
ENSMFAG00000036109,TMEM30A,TMEM30A,ortholog_one2one
ENSMFAG00000038125,ARMC12,ARMC12,ortholog_one2one
ENSMFAG00000055973,,,
ENSMFAG00000056869,,,
ENSMFAG00000037520,BRD2,BRD2,ortholog_one2one
ENSMFAG00000000992,REN,REN,ortholog_one2one
ENSMFAG00000047644,,,
ENSMFAG00000063792,,,
ENSMFAG00000015961,RETREG1,RETREG1,ortholog_one2one
ENSMFAG00000001373,PNISR,PNISR,ortholog_one2one
ENSMFAG00000047216,Metazoa_SRP,,
ENSMFAG00000053304,,,
ENSMFAG00000047668,,,
ENSMFAG00000045215,EXOC2,EXOC2,ortholog_one2one
ENSMFAG00000064839,,,
ENSMFAG00000060600,Metazoa_SRP,,
ENSMFAG00000056057,,,
ENSMFAG00000031329,C6orf118,C6orf118,ortholog_one2one
ENSMFAG00000059894,,,
ENSMFAG00000053722,U4,,
ENSMFAG00000035668,MFSD8,MFSD8,ortholog_one2one
ENSMFAG00000053820,,,
ENSMFAG00000000672,SNX10,SNX10,ortholog_one2one
ENSMFAG00000041456,CYP51A1,CYP51A1,ortholog_one2one
ENSMFAG00000056654,,,
ENSMFAG00000044998,GALNT11,GALNT11,ortholog_one2one
ENSMFAG00000039433,,,
ENSMFAG00000046289,KISS1,KISS1,ortholog_one2one
ENSMFAG00000043527,BST1,BST1,ortholog_one2one
ENSMFAG00000018614,Metazoa_SRP,RN7SL366P,ortholog_one2one
ENSMFAG00000034338,COQ3,COQ3,ortholog_one2one
ENSMFAG00000048491,U6,RNU6-85P,ortholog_one2one
ENSMFAG00000038938,Y_RNA,Y_RNA,ortholog_one2one
ENSMFAG00000065378,,,
ENSMFAG00000046011,SRSF10,SRSF10,ortholog_one2one
ENSMFAG00000049806,,,
ENSMFAG00000000399,CBX3,CBX3,ortholog_one2one
ENSMFAG00000057380,,,
ENSMFAG00000060572,,,
ENSMFAG00000001644,,,
ENSMFAG00000058280,,,
ENSMFAG00000048416,,,
ENSMFAG00000032116,MRPS33,MRPS33,ortholog_one2one
ENSMFAG00000032385,TNPO3,TNPO3,ortholog_one2one
ENSMFAG00000065776,,,
ENSMFAG00000050053,,KRT18,ortholog_one2many
ENSMFAG00000046193,COX7A2,COX7A2,ortholog_one2one
ENSMFAG00000063000,,,
ENSMFAG00000034115,CD38,CD38,ortholog_one2one
ENSMFAG00000064147,,,
ENSMFAG00000005404,U4,RNU4-74P,ortholog_one2one
ENSMFAG00000058680,Metazoa_SRP,,
ENSMFAG00000054806,,,
ENSMFAG00000039386,KLHDC3,KLHDC3,ortholog_one2one
ENSMFAG00000056719,FGFBP1,FGFBP1,ortholog_one2one
ENSMFAG00000043984,TMEM178B,TMEM178B,ortholog_one2one
ENSMFAG00000041545,FAXC,FAXC,ortholog_one2one
ENSMFAG00000045100,IRF4,IRF4,ortholog_one2one
ENSMFAG00000061231,,,
ENSMFAG00000053131,FGFBP2,FGFBP2,ortholog_one2one
ENSMFAG00000044958,,MYO10,ortholog_one2many
ENSMFAG00000041681,PNRC2,PNRC2,ortholog_one2one
ENSMFAG00000042109,HLA-DMA,HLA-DMA,ortholog_one2one
ENSMFAG00000063725,,,
ENSMFAG00000002536,HNRNPA2B1,HNRNPA2B1,ortholog_one2one
ENSMFAG00000052168,,,
ENSMFAG00000058326,,,
ENSMFAG00000063317,,,
ENSMFAG00000009512,CNR2,CNR2,ortholog_one2one
ENSMFAG00000044069,QKI,QKI,ortholog_one2one
ENSMFAG00000059883,,,
ENSMFAG00000056325,,,
ENSMFAG00000050716,,,
ENSMFAG00000052684,,,
ENSMFAG00000065808,Metazoa_SRP,,
ENSMFAG00000030158,FKBP5,FKBP5,ortholog_one2one
ENSMFAG00000052039,,,
ENSMFAG00000001050,FUCA1,FUCA1,ortholog_one2one
ENSMFAG00000057238,Metazoa_SRP,,
ENSMFAG00000034531,DUSP22,DUSP22,ortholog_one2one
ENSMFAG00000000365,SEMA3C,SEMA3C,ortholog_one2one
ENSMFAG00000052832,,,
ENSMFAG00000058270,,,
ENSMFAG00000063863,,,
ENSMFAG00000062629,,,
ENSMFAG00000003547,RRP36,RRP36,ortholog_one2one
ENSMFAG00000054913,,,
ENSMFAG00000004018,HLA-DMB,HLA-DMB,ortholog_one2one
ENSMFAG00000049910,,,
ENSMFAG00000062153,,,
ENSMFAG00000047271,,,
ENSMFAG00000053351,,,
ENSMFAG00000059406,,,
ENSMFAG00000053740,,,
ENSMFAG00000048266,Metazoa_SRP,,
ENSMFAG00000060277,Metazoa_SRP,,
ENSMFAG00000055702,,,
ENSMFAG00000042643,PLEKHA6,PLEKHA6,ortholog_one2one
ENSMFAG00000058661,,,
ENSMFAG00000031568,NFE2L3,NFE2L3,ortholog_one2one
ENSMFAG00000047656,,,
ENSMFAG00000065323,,,
ENSMFAG00000050386,,,
ENSMFAG00000005036,,,ortholog_one2one
ENSMFAG00000027007,MEA1,MEA1,ortholog_one2one
ENSMFAG00000057576,,,
ENSMFAG00000036355,SYNCRIP,SYNCRIP,ortholog_one2one
ENSMFAG00000046148,FBXL4,FBXL4,ortholog_one2one
ENSMFAG00000049078,,FRG2,ortholog_many2many
ENSMFAG00000049078,,FRG2B,ortholog_many2many
ENSMFAG00000049078,,FRG2C,ortholog_many2many
ENSMFAG00000001549,HMGCL,HMGCL,ortholog_one2one
ENSMFAG00000062413,Metazoa_SRP,,
ENSMFAG00000039882,ABHD18,ABHD18,ortholog_one2one
ENSMFAG00000047916,,,
ENSMFAG00000046408,ELMOD2,ELMOD2,ortholog_one2one
ENSMFAG00000038128,PSMB9,PSMB9,ortholog_one2one
ENSMFAG00000015221,,,
ENSMFAG00000039906,AGK,AGK,ortholog_one2one
ENSMFAG00000058675,,,
ENSMFAG00000050080,,,
ENSMFAG00000039741,PACRG,PACRG,ortholog_one2one
ENSMFAG00000052465,,,
ENSMFAG00000011517,U3,U3,ortholog_one2one
ENSMFAG00000058868,,,
ENSMFAG00000052917,,,
ENSMFAG00000061918,,,
ENSMFAG00000062906,,,
ENSMFAG00000052122,,,
ENSMFAG00000044200,CD36,CD36,ortholog_one2one
ENSMFAG00000050448,,,
ENSMFAG00000033164,NPVF,NPVF,ortholog_one2one
ENSMFAG00000052139,,,
ENSMFAG00000051316,,,
ENSMFAG00000054401,,,
ENSMFAG00000065269,,,
ENSMFAG00000002441,TULP1,TULP1,ortholog_one2one
ENSMFAG00000051530,,MYO10,ortholog_one2many
ENSMFAG00000038610,TSPAN33,TSPAN33,ortholog_one2one
ENSMFAG00000055529,,,
ENSMFAG00000043786,UCP1,UCP1,ortholog_one2one
ENSMFAG00000043852,PROM1,PROM1,ortholog_one2one
ENSMFAG00000049439,U6,RNU6-660P,ortholog_one2one
ENSMFAG00000052699,,,
ENSMFAG00000043369,SPMIP4,SPMIP4,ortholog_one2one
ENSMFAG00000040153,PPP2R5D,PPP2R5D,ortholog_one2one
ENSMFAG00000040196,,,
ENSMFAG00000008662,Metazoa_SRP,RN7SL152P,ortholog_one2one
ENSMFAG00000051169,,,
ENSMFAG00000056739,,,
ENSMFAG00000041771,ZNF595,ZNF595,ortholog_one2one
ENSMFAG00000054840,,,
ENSMFAG00000013328,Y_RNA,Y_RNA,ortholog_one2one
ENSMFAG00000064251,,,
ENSMFAG00000050012,,CYCS,ortholog_one2many
ENSMFAG00000017101,Y_RNA,,
ENSMFAG00000057441,,,
ENSMFAG00000046063,TBC1D9,TBC1D9,ortholog_one2one
ENSMFAG00000062744,,BASP1,ortholog_one2one
ENSMFAG00000047292,,,
ENSMFAG00000011197,MIR2113,MIR2113,ortholog_one2one
ENSMFAG00000064827,Metazoa_SRP,,
ENSMFAG00000001926,GALE,GALE,ortholog_one2one
ENSMFAG00000041369,TAP1,TAP1,ortholog_one2one
ENSMFAG00000011962,U6,RNU6-1003P,ortholog_one2one
ENSMFAG00000056806,Metazoa_SRP,,
ENSMFAG00000010669,SNX14,SNX14,ortholog_one2one
ENSMFAG00000051253,Y_RNA,RNY1P14,ortholog_one2one
ENSMFAG00000062039,,,
ENSMFAG00000056394,,,
ENSMFAG00000053105,,,
ENSMFAG00000048201,,,
ENSMFAG00000051743,,ATP5PD,ortholog_one2many
ENSMFAG00000001103,GNAT3,GNAT3,ortholog_one2one
ENSMFAG00000002632,DENND11,DENND11,ortholog_one2one
ENSMFAG00000048030,,TAF11L8,ortholog_many2many
ENSMFAG00000048030,,LINC02218,ortholog_many2many
ENSMFAG00000048030,,TAF11L11,ortholog_many2many
ENSMFAG00000048030,,TAF11L13,ortholog_many2many
ENSMFAG00000048030,,TAF11L7,ortholog_many2many
ENSMFAG00000048030,,TAF11L3,ortholog_many2many
ENSMFAG00000048030,,TAF11L9,ortholog_many2many
ENSMFAG00000048030,,TAF11L2,ortholog_many2many
ENSMFAG00000048030,,TAF11L6,ortholog_many2many
ENSMFAG00000048030,,TAF11L10,ortholog_many2many
ENSMFAG00000048030,,TAF11L4,ortholog_many2many
ENSMFAG00000048030,,TAF11L14,ortholog_many2many
ENSMFAG00000048030,,TAF11L12,ortholog_many2many
ENSMFAG00000048030,,TAF11L5,ortholog_many2many
ENSMFAG00000045402,SMO,SMO,ortholog_one2one
ENSMFAG00000051429,,FRG2,ortholog_many2many
ENSMFAG00000051429,,FRG2B,ortholog_many2many
ENSMFAG00000051429,,FRG2C,ortholog_many2many
ENSMFAG00000002107,PRKN,PRKN,ortholog_one2one
ENSMFAG00000003651,MMS22L,MMS22L,ortholog_one2one
ENSMFAG00000018403,Metazoa_SRP,RN7SL869P,ortholog_one2one
ENSMFAG00000061865,,H3Y1,ortholog_one2many
ENSMFAG00000061865,,H3Y2,ortholog_one2many
ENSMFAG00000041119,SLC44A4,SLC44A4,ortholog_one2one
ENSMFAG00000058626,,,
ENSMFAG00000041541,RNF150,RNF150,ortholog_one2one
ENSMFAG00000055616,,,
ENSMFAG00000064842,,TAF11L8,ortholog_many2many
ENSMFAG00000064842,,LINC02218,ortholog_many2many
ENSMFAG00000064842,,TAF11L11,ortholog_many2many
ENSMFAG00000064842,,TAF11L13,ortholog_many2many
ENSMFAG00000064842,,TAF11L7,ortholog_many2many
ENSMFAG00000064842,,TAF11L3,ortholog_many2many
ENSMFAG00000064842,,TAF11L9,ortholog_many2many
ENSMFAG00000064842,,TAF11L2,ortholog_many2many
ENSMFAG00000064842,,TAF11L6,ortholog_many2many
ENSMFAG00000064842,,TAF11L10,ortholog_many2many
ENSMFAG00000064842,,TAF11L4,ortholog_many2many
ENSMFAG00000064842,,TAF11L14,ortholog_many2many
ENSMFAG00000064842,,TAF11L12,ortholog_many2many
ENSMFAG00000064842,,TAF11L5,ortholog_many2many
ENSMFAG00000001117,GNAI1,GNAI1,ortholog_one2one
ENSMFAG00000002218,LARP1B,LARP1B,ortholog_one2one
ENSMFAG00000055678,,,
ENSMFAG00000034586,PEX6,PEX6,ortholog_one2one
ENSMFAG00000052439,,,
ENSMFAG00000038833,WEE2,WEE2,ortholog_one2one
ENSMFAG00000048587,,TAF11L8,ortholog_many2many
ENSMFAG00000048587,,LINC02218,ortholog_many2many
ENSMFAG00000048587,,TAF11L11,ortholog_many2many
ENSMFAG00000048587,,TAF11L13,ortholog_many2many
ENSMFAG00000048587,,TAF11L7,ortholog_many2many
ENSMFAG00000048587,,TAF11L3,ortholog_many2many
ENSMFAG00000048587,,TAF11L9,ortholog_many2many
ENSMFAG00000048587,,TAF11L2,ortholog_many2many
ENSMFAG00000048587,,TAF11L6,ortholog_many2many
ENSMFAG00000048587,,TAF11L10,ortholog_many2many
ENSMFAG00000048587,,TAF11L4,ortholog_many2many
ENSMFAG00000048587,,TAF11L14,ortholog_many2many
ENSMFAG00000048587,,TAF11L12,ortholog_many2many
ENSMFAG00000048587,,TAF11L5,ortholog_many2many
ENSMFAG00000053471,,,
ENSMFAG00000033593,LYPLA2,LYPLA2,ortholog_one2one
ENSMFAG00000058715,U6,RNU6-849P,ortholog_one2one
ENSMFAG00000037087,,,
ENSMFAG00000023216,U1,RNU1-82P,ortholog_one2one
ENSMFAG00000020824,,TAF11L8,ortholog_many2many
ENSMFAG00000020824,,LINC02218,ortholog_many2many
ENSMFAG00000020824,,TAF11L11,ortholog_many2many
ENSMFAG00000020824,,TAF11L13,ortholog_many2many
ENSMFAG00000020824,,TAF11L7,ortholog_many2many
ENSMFAG00000020824,,TAF11L3,ortholog_many2many
ENSMFAG00000020824,,TAF11L9,ortholog_many2many
ENSMFAG00000020824,,TAF11L2,ortholog_many2many
ENSMFAG00000020824,,TAF11L6,ortholog_many2many
ENSMFAG00000020824,,TAF11L10,ortholog_many2many
ENSMFAG00000020824,,TAF11L4,ortholog_many2many
ENSMFAG00000020824,,TAF11L14,ortholog_many2many
ENSMFAG00000020824,,TAF11L12,ortholog_many2many
ENSMFAG00000020824,,TAF11L5,ortholog_many2many
ENSMFAG00000035474,,TAF11L8,ortholog_many2many
ENSMFAG00000035474,,LINC02218,ortholog_many2many
ENSMFAG00000035474,,TAF11L11,ortholog_many2many
ENSMFAG00000035474,,TAF11L13,ortholog_many2many
ENSMFAG00000035474,,TAF11L7,ortholog_many2many
ENSMFAG00000035474,,TAF11L3,ortholog_many2many
ENSMFAG00000035474,,TAF11L9,ortholog_many2many
ENSMFAG00000035474,,TAF11L2,ortholog_many2many
ENSMFAG00000035474,,TAF11L6,ortholog_many2many
ENSMFAG00000035474,,TAF11L10,ortholog_many2many
ENSMFAG00000035474,,TAF11L4,ortholog_many2many
ENSMFAG00000035474,,TAF11L14,ortholog_many2many
ENSMFAG00000035474,,TAF11L12,ortholog_many2many
ENSMFAG00000035474,,TAF11L5,ortholog_many2many
ENSMFAG00000032101,,,
ENSMFAG00000061466,,,
ENSMFAG00000002599,PITHD1,PITHD1,ortholog_one2one
ENSMFAG00000037139,TAP2,TAP2,ortholog_one2one
ENSMFAG00000064011,Metazoa_SRP,,
ENSMFAG00000041275,KLHL32,KLHL32,ortholog_one2one
ENSMFAG00000039950,PGRMC2,PGRMC2,ortholog_one2one
ENSMFAG00000045063,GNMT,GNMT,ortholog_one2one
ENSMFAG00000053696,,,
ENSMFAG00000032819,SSBP1,SSBP1,ortholog_one2one
ENSMFAG00000054165,,,
ENSMFAG00000053670,,,
ENSMFAG00000037940,,,
ENSMFAG00000054042,,,
ENSMFAG00000020122,SNORD81,SNORD81,ortholog_one2many
ENSMFAG00000054366,Metazoa_SRP,,
ENSMFAG00000065138,,,
ENSMFAG00000057406,,,
ENSMFAG00000009880,Metazoa_SRP,RN7SL58P,ortholog_one2one
ENSMFAG00000030809,ZNF330,ZNF330,ortholog_one2one
ENSMFAG00000065454,,,
ENSMFAG00000054565,Metazoa_SRP,,
ENSMFAG00000061894,,,
ENSMFAG00000012145,,,
ENSMFAG00000063716,TAS2R3,TAS2R3,ortholog_one2one
ENSMFAG00000033027,NT5E,NT5E,ortholog_one2one
ENSMFAG00000039128,AHCYL2,AHCYL2,ortholog_one2one
ENSMFAG00000007777,Metazoa_SRP,Metazoa_SRP,ortholog_one2one
ENSMFAG00000062402,,,
ENSMFAG00000003652,HLA-DOB,HLA-DOB,ortholog_one2one
ENSMFAG00000061404,TAS2R4,TAS2R4,ortholog_one2one
ENSMFAG00000058124,,,
ENSMFAG00000057368,,,
ENSMFAG00000059085,,,
ENSMFAG00000057048,TAS2R5,TAS2R5,ortholog_one2one
ENSMFAG00000030669,CNPY3,CNPY3,ortholog_one2one
ENSMFAG00000061273,,,
ENSMFAG00000032306,ELOA,ELOA,ortholog_one2one
ENSMFAG00000046189,NEU1,NEU1,ortholog_one2one
ENSMFAG00000013370,Metazoa_SRP,RN7SL509P,ortholog_one2one
ENSMFAG00000038238,JADE1,JADE1,ortholog_one2one
ENSMFAG00000041781,AGPAT4,AGPAT4,ortholog_one2one
ENSMFAG00000043515,IL15,IL15,ortholog_one2one
ENSMFAG00000059819,Metazoa_SRP,,
ENSMFAG00000034460,COL12A1,COL12A1,ortholog_one2one
ENSMFAG00000030804,NDUFAF4,NDUFAF4,ortholog_one2one
ENSMFAG00000033856,PRSS37,PRSS37,ortholog_one2one
ENSMFAG00000002949,HLA-DQA1,HLA-DQA1,ortholog_one2one
ENSMFAG00000013437,U7,,
ENSMFAG00000053423,,,
ENSMFAG00000056085,,,
ENSMFAG00000030294,CDH18,CDH18,ortholog_one2one
ENSMFAG00000056563,,,
ENSMFAG00000062613,,,
ENSMFAG00000007033,GPR63,GPR63,ortholog_one2one
ENSMFAG00000039142,PPP1R15B,PPP1R15B,ortholog_one2one
ENSMFAG00000053469,RPL7L1,RPL7L1,ortholog_one2one
ENSMFAG00000038982,SNORD52,SNORD52,ortholog_one2one
ENSMFAG00000046075,KMT2C,KMT2C,ortholog_one2one
ENSMFAG00000055706,,,
ENSMFAG00000049520,,,
ENSMFAG00000048975,,,
ENSMFAG00000042777,OR9A4,OR9A4,ortholog_one2one
ENSMFAG00000023687,SNORD48,SNORD48,ortholog_one2one
ENSMFAG00000007435,U4,RNU4-70P,ortholog_one2one
ENSMFAG00000054119,,,
ENSMFAG00000059772,U6,,
ENSMFAG00000033335,PIGG,PIGG,ortholog_one2one
ENSMFAG00000039688,TBX18,TBX18,ortholog_one2one
ENSMFAG00000041411,STRIP2,STRIP2,ortholog_one2one
ENSMFAG00000039068,,HSPA1A,ortholog_one2many
ENSMFAG00000039068,,HSPA1B,ortholog_one2many
ENSMFAG00000033652,TAPT1,TAPT1,ortholog_one2one
ENSMFAG00000014177,Metazoa_SRP,,
ENSMFAG00000065326,,,
ENSMFAG00000036311,CLEC5A,CLEC5A,ortholog_one2one
ENSMFAG00000054107,,,
ENSMFAG00000053338,Metazoa_SRP,,
ENSMFAG00000050242,U6,,
ENSMFAG00000052989,Metazoa_SRP,,
ENSMFAG00000032015,ANK2,ANK2,ortholog_one2one
ENSMFAG00000001446,BICRAL,BICRAL,ortholog_one2one
ENSMFAG00000055090,,,
ENSMFAG00000000455,HSPA1L,HSPA1L,ortholog_one2one
ENSMFAG00000003126,PIK3C2B,PIK3C2B,ortholog_one2one
ENSMFAG00000047831,,,
ENSMFAG00000004754,INPP4B,INPP4B,ortholog_one2one
ENSMFAG00000028102,AKAP9,AKAP9,ortholog_one2one
ENSMFAG00000048301,Metazoa_SRP,,
ENSMFAG00000062604,,,
ENSMFAG00000059261,TAS2R38,TAS2R38,ortholog_one2one
ENSMFAG00000065853,Metazoa_SRP,,
ENSMFAG00000049010,,,
ENSMFAG00000000960,MAGI2,MAGI2,ortholog_one2one
ENSMFAG00000056871,Metazoa_SRP,,
ENSMFAG00000001016,LSM2,LSM2,ortholog_one2one
ENSMFAG00000028356,,,
ENSMFAG00000049426,U2,U2,ortholog_one2one
ENSMFAG00000031492,CEP162,CEP162,ortholog_one2one
ENSMFAG00000059041,,,
ENSMFAG00000059800,,,
ENSMFAG00000053069,,,
ENSMFAG00000041663,ID3,ID3,ortholog_one2one
ENSMFAG00000051271,,,
ENSMFAG00000063703,,,
ENSMFAG00000057617,,,
