gene_name	human_ensembl_id	pLI	oe_lof_upper	mis_z	oe_lof	oe_mis
PTGER4	ENSG00000171522	0.9755	0.3	2.2056	0.063242	0.63452
HP1BP3	ENSG00000127483	0.98422	0.3	2.2142	0.11615	0.63572
MALT1	ENSG00000172175	0.98651	0.3	2.8387	0.15196	0.59337
BAHD1	ENSG00000140320	0.98547	0.3	1.308	0.13131	0.8384
PPP2R5B	ENSG00000068971	0.98416	0.3	2.4612	0.11619	0.60175
AKAP11	ENSG00000023516	0.97878	0.3	0.31287	0.18545	0.97139
EOMES	ENSG00000163508	0.98443	0.3	0.86068	0.11598	0.8702
RRAGC	ENSG00000116954	0.97538	0.3	2.4643	0.063299	0.5266
PSMB5	ENSG00000100804	0.95893	0.3	1.0399	0.0	0.76867
ANTXR1	ENSG00000169604	0.98631	0.3	1.5204	0.14272	0.75934
SRF	ENSG00000112658	0.97545	0.3	2.7891	0.063266	0.51018
REPS1	ENSG00000135597	0.98506	0.301	1.6971	0.16049	0.7697
TOPAZ1	ENSG00000173769	0.97746	0.301	1.902	0.18593	0.80407
SND1	ENSG00000197157	0.98213	0.301	3.3937	0.17744	0.59643
ILKAP	ENSG00000132323	0.98116	0.301	2.2097	0.095521	0.59254
DAG1	ENSG00000173402	0.98117	0.301	0.62509	0.095513	0.92393
PIAS3	ENSG00000131788	0.98499	0.301	1.0036	0.13169	0.84924
ZNF24	ENSG00000172466	0.98114	0.301	2.0467	0.095534	0.58679
CCT7	ENSG00000135624	0.98362	0.301	2.2579	0.1166	0.64322
CPEB4	ENSG00000113742	0.98555	0.301	3.309	0.14332	0.54482
SKIL	ENSG00000136603	0.98512	0.301	0.92818	0.13158	0.85927
DOCK4	ENSG00000128512	0.82562	0.301	2.5162	0.21563	0.78212
ELL	ENSG00000105656	0.98542	0.301	1.0345	0.13134	0.85166
KLHL29	ENSG00000119771	0.98532	0.301	3.3962	0.13142	0.58086
CTC-432M15.3	ENSG00000273217	0.96338	0.301	1.5452	0.19791	0.85269
GNAQ	ENSG00000156052	0.98069	0.302	3.6575	0.095822	0.27662
IRX5	ENSG00000176842	0.9747	0.302	0.83051	0.0636	0.85788
KIAA0922	ENSG00000121210	0.95975	0.302	0.6931	0.19856	0.9333
SNX2	ENSG00000205302	0.98462	0.302	0.59601	0.13198	0.89703
HSPA12A	ENSG00000165868	0.98436	0.302	2.1216	0.13218	0.70883
CYFIP1	ENSG00000068793	0.96816	0.302	2.6545	0.19334	0.73167
TWF2	ENSG00000247596	0.98055	0.302	1.0805	0.095919	0.79859
MPRIP	ENSG00000133030	0.98078	0.302	1.8097	0.17807	0.80323
FOXF1	ENSG00000103241	0.95792	0.302	1.089	0.0	0.78589
MAP3K3	ENSG00000198909	0.98535	0.302	2.042	0.15283	0.71594
LPGAT1	ENSG00000123684	0.98041	0.302	2.3913	0.096009	0.51642
FAM171A1	ENSG00000148468	0.98528	0.302	0.43876	0.14352	0.94685
PRPF31	ENSG00000105618	0.98313	0.302	3.0492	0.11697	0.51783
DYNC1LI2	ENSG00000135720	0.98346	0.302	1.8932	0.11672	0.67828
ABHD17C	ENSG00000136379	0.95762	0.302	3.1394	0.0	0.31376
CHMP4B	ENSG00000101421	0.95771	0.302	2.3781	0.0	0.41082
NCAPG2	ENSG00000146918	0.97764	0.303	1.9358	0.18286	0.78115
EGLN1	ENSG00000135766	0.97403	0.303	2.1511	0.063889	0.57809
RS1	ENSG00000102104	0.95743	0.303	0.96911	0.0	0.7308
CS	ENSG00000062485	0.98402	0.303	3.3323	0.13243	0.41559
UBQLN4	ENSG00000160803	0.98252	0.303	2.8804	0.11741	0.56485
PCGF5	ENSG00000180628	0.98007	0.303	2.3927	0.096221	0.42418
CSTF3	ENSG00000176102	0.98279	0.303	4.9398	0.16793	0.29261
GGT7	ENSG00000131067	0.98393	0.303	2.304	0.13249	0.67946
SEL1L	ENSG00000071537	0.98233	0.303	2.4144	0.16818	0.6723
PRMT8	ENSG00000111218	0.98023	0.303	3.4556	0.096123	0.36777
PDZRN3	ENSG00000121440	0.98471	0.303	-0.0050632	0.14395	1.0006
SUCO	ENSG00000094975	0.97455	0.303	1.0802	0.18689	0.87902
PPP2R1A	ENSG00000105568	0.98389	0.303	4.4565	0.13253	0.34033
GAB2	ENSG00000033327	0.98325	0.304	-0.62194	0.13299	1.0885
GLRA2	ENSG00000101958	0.97334	0.304	2.7002	0.064186	0.43352
MID1	ENSG00000101871	0.97967	0.304	2.9209	0.096476	0.51947
PSMB3	ENSG00000108294	0.95656	0.304	1.5062	0.0	0.63055
EEA1	ENSG00000102189	0.92875	0.304	1.3779	0.20505	0.84596
MYO9A	ENSG00000066933	0.48923	0.304	1.7401	0.22436	0.86598
MYT1	ENSG00000196132	0.97791	0.304	2.5631	0.17928	0.72271
PPP6R1	ENSG00000105063	0.98287	0.304	0.035369	0.16187	0.99559
SPRTN	ENSG00000010072	0.97354	0.304	0.73867	0.064101	0.87252
TIAM1	ENSG00000156299	0.95662	0.304	1.6982	0.19747	0.84481
WDFY4	ENSG00000128815	0.34009	0.304	3.1236	0.22714	0.78549
GLTSCR1	ENSG00000063169	0.98349	0.304	2.5398	0.14482	0.75087
PANK4	ENSG00000157881	0.98325	0.304	2.4165	0.15426	0.7008
TLR7	ENSG00000196664	0.97912	0.305	3.0132	0.096816	0.55772
MYH11	ENSG00000133392	0.77299	0.305	1.4389	0.2169	0.87903
RAPGEF5	ENSG00000136237	0.98099	0.305	1.6366	0.16888	0.75855
ANKRD50	ENSG00000151458	0.9792	0.305	0.70472	0.17464	0.92694
BICD2	ENSG00000185963	0.98272	0.305	2.205	0.13337	0.73802
FGF17	ENSG00000158815	0.95609	0.305	1.8542	0.0	0.5791
ANAPC1	ENSG00000153107	0.94532	0.305	0.98694	0.2007	0.89909
RFC1	ENSG00000035928	0.97305	0.305	1.3817	0.18443	0.84087
MET	ENSG00000105976	0.96998	0.305	1.9172	0.18822	0.80267
ZNF711	ENSG00000147180	0.97887	0.305	2.4017	0.096964	0.59436
SENP2	ENSG00000163904	0.98262	0.305	1.8679	0.15466	0.70344
KIT	ENSG00000157404	0.98087	0.305	2.5806	0.16894	0.68877
SMS	ENSG00000102172	0.97297	0.305	2.3162	0.064342	0.4574
CDC34	ENSG00000099804	0.95625	0.305	1.8321	0.0	0.57571
C3	ENSG00000125730	0.90421	0.305	2.7489	0.20804	0.75029
CNOT10	ENSG00000182973	0.98194	0.305	1.781	0.16241	0.75501
ATXN1L	ENSG00000224470	0.97897	0.305	1.081	0.096904	0.84446
NR6A1	ENSG00000148200	0.98169	0.305	1.8258	0.11799	0.68051
KLHL10	ENSG00000161594	0.97852	0.306	2.7236	0.09718	0.59494
VDAC1	ENSG00000213585	0.97266	0.306	1.3262	0.064472	0.70626
LRRC4C	ENSG00000148948	0.97233	0.306	2.5186	0.064608	0.62548
IGF1R	ENSG00000140443	0.96799	0.306	2.7286	0.18874	0.73351
ITGB1	ENSG00000150093	0.98208	0.306	3.4595	0.15499	0.52971
COL11A2	ENSG00000204248	0.70197	0.306	2.3685	0.21915	0.78507
GABRB1	ENSG00000163288	0.98116	0.306	2.6517	0.11835	0.55494
ADCY9	ENSG00000162104	0.97943	0.306	1.2457	0.16965	0.8784
KCNQ5	ENSG00000185760	0.98011	0.306	3.3177	0.16932	0.58129
INPP5D	ENSG00000168918	0.97198	0.306	4.152	0.18476	0.55681
FOXP4	ENSG00000137166	0.98242	0.306	1.9473	0.14554	0.73124
RP2	ENSG00000102218	0.95597	0.306	0.63317	0.0	0.84522
ACSL4	ENSG00000068366	0.98103	0.306	2.5909	0.11844	0.54846
PARD3	ENSG00000148498	0.95577	0.306	1.0399	0.19581	0.89548
SS18L1	ENSG00000184402	0.98229	0.306	1.5663	0.13366	0.72359
INF2	ENSG00000203485	0.97346	0.307	2.3077	0.18091	0.76444
KCNK9	ENSG00000169427	0.95519	0.307	2.9038	0.0	0.47924
SEMA3A	ENSG00000075213	0.9779	0.307	1.7496	0.17036	0.76228
AGPAT1	ENSG00000204310	0.97215	0.307	2.6081	0.064685	0.44972
HOXA13	ENSG00000106031	0.9551	0.307	0.55847	0.0	0.87693
TSHZ2	ENSG00000182463	0.9814	0.307	0.60185	0.14619	0.93071
RPL8	ENSG00000161016	0.95531	0.307	1.7478	0.0	0.62296
TDRD5	ENSG00000162782	0.97247	0.307	1.8968	0.18124	0.77031
DRD1	ENSG00000184845	0.9555	0.307	2.2559	0.0	0.59888
LYST	ENSG00000143669	0.015026	0.307	1.4073	0.23864	0.9099
UNC80	ENSG00000144406	0.052307	0.307	5.5319	0.23527	0.62659
NAF1	ENSG00000145414	0.97793	0.307	-0.31017	0.097532	1.0552
PDE4A	ENSG00000065989	0.98167	0.307	2.4163	0.14602	0.70771
MITF	ENSG00000187098	0.98119	0.308	1.4684	0.1344	0.76774
CENPE	ENSG00000138778	0.24146	0.308	1.2657	0.22924	0.89879
INPP5A	ENSG00000068383	0.98121	0.308	1.7803	0.13439	0.687
AHNAK	ENSG00000124942	0.89827	0.308	-2.9677	0.20751	1.1507
ATL1	ENSG00000198513	0.98109	0.308	2.6313	0.14639	0.56905
C16orf70	ENSG00000125149	0.98056	0.308	1.597	0.13481	0.70676
SPDEF	ENSG00000124664	0.97178	0.308	0.79669	0.064835	0.84857
NKTR	ENSG00000114857	0.94032	0.308	1.3246	0.19983	0.86515
CLSTN1	ENSG00000171603	0.97757	0.308	1.0231	0.17051	0.88199
SCN5A	ENSG00000183873	0.91291	0.308	2.7504	0.20533	0.78016
GRIN1	ENSG00000176884	0.97629	0.309	6.2157	0.17106	0.27785
HSPE1-MOB4	ENSG00000270757	0.9709	0.309	2.7687	0.065194	0.31996
MCM6	ENSG00000076003	0.97833	0.309	1.0681	0.1643	0.85895
SNPH	ENSG00000101298	0.97082	0.309	1.5058	0.065226	0.75782
OTUB1	ENSG00000167770	0.97107	0.309	2.195	0.065126	0.51786
RNF145	ENSG00000145860	0.98031	0.309	3.5929	0.13497	0.46996
MTSS1L	ENSG00000132613	0.97998	0.309	0.7435	0.14705	0.90374
RPS7	ENSG00000171863	0.95439	0.309	1.6271	0.0	0.566
NAMPT	ENSG00000105835	0.97914	0.309	2.9699	0.11967	0.46873
HIF1A	ENSG00000100644	0.9777	0.309	2.2242	0.16461	0.70486
XAB2	ENSG00000076924	0.97281	0.309	1.935	0.17716	0.77861
PTPRK	ENSG00000152894	0.90291	0.309	3.1702	0.20613	0.68537
HNRNPH2	ENSG00000126945	0.95448	0.309	3.6248	0.0	0.23576
PCDHGC4	ENSG00000242419	0.98025	0.309	1.9671	0.135	0.7644
ATP5B	ENSG00000110955	0.97679	0.309	3.1686	0.098191	0.49025
TBL1X	ENSG00000101849	0.97946	0.309	2.4787	0.11947	0.5569
ZBTB17	ENSG00000116809	0.97933	0.309	3.7316	0.15656	0.54428
GLI2	ENSG00000074047	0.97303	0.309	0.8168	0.17709	0.9261
DCAF12L1	ENSG00000198889	0.95405	0.309	2.4087	0.0	0.55028
OSBPL9	ENSG00000117859	0.97558	0.309	2.6559	0.17136	0.62368
CDC40	ENSG00000168438	0.97944	0.31	2.6716	0.14737	0.56798
MAGEE1	ENSG00000198934	0.97046	0.31	1.4379	0.065368	0.79537
NODAL	ENSG00000156574	0.97028	0.31	0.97103	0.065441	0.80385
ABHD8	ENSG00000127220	0.97027	0.31	1.7991	0.065445	0.71143
EIF2S1	ENSG00000134001	0.97031	0.31	2.8612	0.065428	0.3876
EIF3F	ENSG00000175390	0.97044	0.31	-0.10831	0.065378	1.0212
NLGN3	ENSG00000196338	0.97641	0.31	4.206	0.098402	0.3948
PLK1	ENSG00000166851	0.97851	0.31	2.5236	0.12005	0.63537
SLC12A2	ENSG00000064651	0.96153	0.31	2.3971	0.18752	0.72333
NXF1	ENSG00000162231	0.9763	0.31	2.6576	0.16526	0.61432
XK	ENSG00000047597	0.95373	0.31	2.1242	0.0	0.53425
FAM49B	ENSG00000153310	0.97612	0.31	3.2108	0.098564	0.30326
SLC9A3	ENSG00000066230	0.97845	0.31	2.4903	0.15703	0.69434
TOB1	ENSG00000141232	0.95365	0.31	1.4524	0.0	0.70379
ADAMTS2	ENSG00000087116	0.9661	0.311	1.4291	0.18315	0.85285
EPS8	ENSG00000151491	0.97308	0.311	0.81071	0.17235	0.8925
TCOF1	ENSG00000070814	0.9541	0.311	0.33899	0.19177	0.96627
LAMA5	ENSG00000130702	0.0064742	0.311	-0.27216	0.24162	1.0161
MDGA1	ENSG00000112139	0.97574	0.311	2.5691	0.16551	0.69923
NNT	ENSG00000112992	0.97271	0.311	2.0839	0.17249	0.75867
FOXC1	ENSG00000054598	0.95337	0.311	0.34156	0.0	0.93627
CAPRIN1	ENSG00000135387	0.97247	0.311	1.6918	0.17258	0.76067
KIAA0355	ENSG00000166398	0.97288	0.311	1.6381	0.17242	0.81516
FBXL16	ENSG00000127585	0.96981	0.311	3.1417	0.065624	0.46635
FAM155A	ENSG00000204442	0.97586	0.311	0.30716	0.098712	0.94495
WASF2	ENSG00000158195	0.97567	0.311	1.7698	0.098816	0.70802
ZCCHC14	ENSG00000140948	0.97852	0.311	0.81288	0.14789	0.90554
ZXDB	ENSG00000198455	0.95266	0.312	0.9635	0.0	0.83584
LRRTM3	ENSG00000198739	0.97519	0.312	1.8803	0.099078	0.7007
SCRIB	ENSG00000180900	0.92926	0.312	0.38071	0.19952	0.96639
SRGAP2	ENSG00000163486	0.97679	0.312	3.1852	0.15787	0.60426
ANKFY1	ENSG00000185722	0.95629	0.312	2.4638	0.18867	0.74099
NUCKS1	ENSG00000069275	0.96937	0.312	2.0935	0.0658	0.49158
RUNX1T1	ENSG00000079102	0.97768	0.312	2.1674	0.13654	0.6841
MAGEL2	ENSG00000254585	0.97506	0.312	-0.56265	0.09915	1.0825
LRRC8D	ENSG00000171492	0.97752	0.312	3.2017	0.12065	0.58006
COL27A1	ENSG00000196739	0.5864	0.312	0.6291	0.22159	0.94708
PLCB3	ENSG00000149782	0.93999	0.312	3.2651	0.19629	0.66809
FZD4	ENSG00000174804	0.96962	0.312	0.73303	0.065701	0.8789
EGR3	ENSG00000179388	0.95288	0.312	3.3765	0.0	0.41107
SCD	ENSG00000099194	0.96968	0.312	2.0381	0.065679	0.60783
CXorf56	ENSG00000018610	0.95204	0.313	2.2384	0.0	0.33468
SCUBE1	ENSG00000159307	0.96076	0.313	1.9781	0.18452	0.77935
HLF	ENSG00000108924	0.95215	0.313	2.2847	0.0	0.52124
TBCEL	ENSG00000154114	0.97472	0.313	2.7653	0.099332	0.48388
LIMCH1	ENSG00000064042	0.94734	0.313	0.52339	0.19296	0.93987
PIP5K1C	ENSG00000186111	0.97704	0.313	2.2925	0.1487	0.69049
CTNNA1	ENSG00000044115	0.96962	0.313	3.6624	0.17359	0.55301
PTK2B	ENSG00000120899	0.93536	0.313	1.5043	0.19692	0.83035
HIVEP3	ENSG00000127124	0.90584	0.313	1.1744	0.20341	0.9116
VPS35	ENSG00000069329	0.96921	0.313	3.5321	0.17373	0.5178
ZNF512	ENSG00000243943	0.9765	0.313	2.4146	0.14898	0.61609
ARHGAP4	ENSG00000089820	0.97693	0.313	0.68696	0.14875	0.90724
ABCE1	ENSG00000164163	0.9738	0.314	4.1012	0.15926	0.35252
PTPRB	ENSG00000127329	0.50207	0.314	1.6562	0.22347	0.86445
SEMA4D	ENSG00000187764	0.97472	0.314	0.99698	0.15885	0.87747
DGKI	ENSG00000157680	0.93134	0.314	3.0849	0.19744	0.62716
FBXO21	ENSG00000135108	0.97537	0.314	2.7212	0.14955	0.5952
RNF41	ENSG00000181852	0.96847	0.314	2.995	0.066147	0.41271
MCF2	ENSG00000101977	0.9718	0.314	1.1015	0.16714	0.83057
FBXW11	ENSG00000072803	0.97611	0.314	3.9567	0.14918	0.36915
CASC5	ENSG00000137812	0.78348	0.314	-0.0081276	0.21404	1.0007
INTS8	ENSG00000164941	0.9439	0.314	2.0305	0.19352	0.74784
SQLE	ENSG00000104549	0.97594	0.314	1.1425	0.12156	0.80817
CNIH2	ENSG00000174871	0.95171	0.314	2.2511	0.0	0.32716
HSF2	ENSG00000025156	0.97536	0.315	2.0685	0.13782	0.6494
PAN2	ENSG00000135473	0.93596	0.315	3.1762	0.1947	0.65757
TAF1L	ENSG00000122728	0.96182	0.315	-0.40251	0.1805	1.0366
TUBA1B	ENSG00000123416	0.96767	0.315	5.412	0.066449	0.060843
FAM65A	ENSG00000039523	0.949	0.315	1.6724	0.19008	0.82738
TUBB3	ENSG00000258947	0.96761	0.315	4.5786	0.066472	0.25644
TBX20	ENSG00000164532	0.97302	0.315	1.6816	0.10022	0.70128
PRDM11	ENSG00000019485	0.97355	0.315	1.1258	0.099945	0.81323
HMGB2	ENSG00000164104	0.95087	0.315	1.6115	0.0	0.57627
MOB1A	ENSG00000114978	0.95091	0.315	1.6476	0.0	0.55433
KLC2	ENSG00000174996	0.97506	0.315	2.0187	0.1497	0.71538
G2E3	ENSG00000092140	0.97083	0.315	2.1342	0.16751	0.67863
CLSTN3	ENSG00000139182	0.97016	0.315	1.4978	0.16776	0.82637
SPHKAP	ENSG00000153820	0.93594	0.315	-0.75633	0.1947	1.0704
AKT1	ENSG00000142208	0.9759	0.315	3.4778	0.13753	0.46102
NKX2-3	ENSG00000119919	0.95047	0.316	0.80718	0.0	0.82386
YPEL2	ENSG00000175155	0.95044	0.316	1.8001	0.0	0.3558
KBTBD6	ENSG00000165572	0.97282	0.316	2.5847	0.10032	0.62735
RPL13	ENSG00000167526	0.95062	0.316	-0.32157	0.0	1.0792
CAPN15	ENSG00000103326	0.96857	0.316	1.7722	0.16834	0.81297
ATXN1	ENSG00000124788	0.97498	0.316	1.2511	0.12209	0.84468
EMX2	ENSG00000170370	0.9507	0.316	1.5672	0.0	0.63696
MGEA5	ENSG00000198408	0.96569	0.316	2.9963	0.17487	0.616
PATL1	ENSG00000166889	0.964	0.316	2.4376	0.17538	0.66461
BRD3	ENSG00000169925	0.97468	0.316	2.6358	0.13817	0.65466
IP6K2	ENSG00000068745	0.973	0.316	2.6308	0.10023	0.53306
RASGEF1A	ENSG00000198915	0.97444	0.316	2.6603	0.12238	0.55793
MDN1	ENSG00000112159	2.1582e-08	0.316	2.0085	0.2615	0.89612
RAP1GAP2	ENSG00000132359	0.96928	0.316	2.2279	0.16809	0.70052
USP5	ENSG00000111667	0.96396	0.316	3.3619	0.17539	0.58797
ZBTB20	ENSG00000181722	0.97382	0.317	4.272	0.12271	0.45159
ATG9A	ENSG00000198925	0.97081	0.317	2.599	0.16053	0.67771
RPS6KB1	ENSG00000108443	0.97285	0.317	3.9009	0.15075	0.35854
ANO8	ENSG00000074855	0.95634	0.317	2.5036	0.18186	0.72999
TUBA1A	ENSG00000167552	0.96654	0.317	5.584	0.066872	0.026847
VPS26B	ENSG00000151502	0.9665	0.317	2.0188	0.066887	0.6151
RNF165	ENSG00000141622	0.97194	0.317	1.9384	0.10077	0.6269
NUP62	ENSG00000213024	0.95006	0.317	0.0062182	0.0	0.999
SLC32A1	ENSG00000101438	0.96675	0.317	2.3023	0.066793	0.62611
ZEB1	ENSG00000148516	0.96665	0.317	1.6042	0.16901	0.81142
TAF12	ENSG00000120656	0.95008	0.317	1.2943	0.0	0.61489
LRP1B	ENSG00000168702	2.5267e-06	0.317	1.9279	0.25727	0.88959
TRIM41	ENSG00000146063	0.97384	0.317	1.0066	0.1386	0.86125
DMTF1	ENSG00000135164	0.96706	0.317	2.2024	0.16887	0.69236
KIRREL3	ENSG00000149571	0.96992	0.318	2.3547	0.16088	0.70054
ETV6	ENSG00000139083	0.9735	0.318	1.7817	0.12288	0.7003
PSEN1	ENSG00000080815	0.97322	0.318	2.1558	0.12302	0.6209
TFDP1	ENSG00000198176	0.97174	0.318	2.2834	0.10086	0.60397
JMY	ENSG00000152409	0.96031	0.318	1.7085	0.17643	0.78487
NPAS4	ENSG00000174576	0.97335	0.318	1.5236	0.13885	0.79506
PRKACA	ENSG00000072062	0.97142	0.318	2.9714	0.10102	0.429
RASGRP1	ENSG00000172575	0.96554	0.318	2.7427	0.16938	0.62182
SLIT3	ENSG00000184347	0.75233	0.318	1.9438	0.21457	0.81834
G6PD	ENSG00000160211	0.97158	0.318	2.0008	0.10095	0.65465
STAU2	ENSG00000040341	0.97269	0.318	1.4214	0.13917	0.76832
LRP6	ENSG00000070018	0.69664	0.318	2.7541	0.21702	0.73992
KCNN3	ENSG00000143603	0.97227	0.319	3.3258	0.13938	0.55469
HSPA9	ENSG00000113013	0.96852	0.319	1.0372	0.16143	0.84785
ZBTB12	ENSG00000204366	0.94882	0.319	3.4467	0.0	0.44761
RBM41	ENSG00000089682	0.96551	0.319	0.68319	0.067247	0.84554
STAT2	ENSG00000170581	0.93065	0.319	2.5952	0.19299	0.65753
ELOVL6	ENSG00000170522	0.96581	0.319	3.0411	0.067141	0.29696
PPP2R5C	ENSG00000078304	0.97071	0.319	3.0831	0.15171	0.49939
SPATS2	ENSG00000123352	0.97239	0.319	0.796	0.13932	0.86993
ZNF687	ENSG00000143373	0.97101	0.319	1.8085	0.15158	0.81395
USP12	ENSG00000152484	0.97053	0.319	2.8193	0.10145	0.44323
NPAS1	ENSG00000130751	0.97067	0.319	1.7971	0.10139	0.72203
SYNRG	ENSG00000006114	0.93079	0.319	1.4376	0.19297	0.8459
SPRED1	ENSG00000166068	0.97246	0.319	1.1694	0.12341	0.79
MRC2	ENSG00000011028	0.67472	0.319	2.7252	0.21769	0.7429
ATG16L1	ENSG00000085978	0.96452	0.319	2.6338	0.16971	0.60073
SULT4A1	ENSG00000130540	0.96563	0.319	2.6586	0.067205	0.42982
NR3C1	ENSG00000113580	0.96958	0.32	1.841	0.15219	0.7397
BRS3	ENSG00000102239	0.94849	0.32	0.93894	0.0	0.78374
DIAPH1	ENSG00000131504	0.91507	0.32	1.6505	0.19731	0.81835
MON2	ENSG00000061987	0.59388	0.32	3.2037	0.22038	0.69495
WNT3A	ENSG00000154342	0.96491	0.32	1.9978	0.067467	0.64347
HIAT1	ENSG00000156875	0.97172	0.32	2.8214	0.13964	0.51498
GPRIN1	ENSG00000169258	0.97001	0.32	0.33776	0.1017	0.95822
RGL1	ENSG00000143344	0.95608	0.32	2.2238	0.17753	0.70413
LRRN1	ENSG00000175928	0.96996	0.32	0.3483	0.10173	0.9502
FBXO5	ENSG00000112029	0.96995	0.32	0.82173	0.10173	0.84609
PAK2	ENSG00000180370	0.97169	0.32	3.4003	0.13965	0.43116
BEGAIN	ENSG00000183092	0.97002	0.32	2.2364	0.1017	0.67547
CCNE1	ENSG00000105173	0.97187	0.32	1.5287	0.12371	0.71865
KIAA0907	ENSG00000132680	0.96921	0.32	1.7437	0.15235	0.72995
CORO1A	ENSG00000102879	0.97024	0.32	2.4762	0.10159	0.58225
NBEAL2	ENSG00000160796	0.059764	0.32	2.3933	0.23687	0.83467
PPIG	ENSG00000138398	0.96292	0.32	1.7173	0.17022	0.75328
ECE1	ENSG00000117298	0.95987	0.321	2.3066	0.17113	0.69508
RANBP10	ENSG00000141084	0.96855	0.321	1.5452	0.15262	0.77382
APBB1	ENSG00000166313	0.96811	0.321	1.5605	0.1528	0.78601
CLCF1	ENSG00000175505	0.94791	0.321	1.1195	0.0	0.73513
GATA1	ENSG00000102145	0.94798	0.321	1.1352	0.0	0.75872
MTF1	ENSG00000188786	0.96897	0.321	2.5403	0.15244	0.65043
PIM2	ENSG00000102096	0.94801	0.321	1.336	0.0	0.66378
BCL11A	ENSG00000119866	0.96998	0.322	3.835	0.12463	0.53933
FAM46C	ENSG00000183508	0.94762	0.322	1.9902	0.0	0.63163
NOTCH3	ENSG00000074181	0.40757	0.322	3.5329	0.22551	0.73527
IDS	ENSG00000241489	0.94725	0.322	0.9735	0.0	0.77249
SHB	ENSG00000107338	0.96874	0.322	0.24113	0.1023	0.95766
COL4A6	ENSG00000197565	0.89901	0.322	1.4821	0.19898	0.83563
SERPING1	ENSG00000149131	0.96351	0.322	1.0607	0.067962	0.81533
RPS5	ENSG00000083845	0.94764	0.322	2.7926	0.0	0.33578
EIF2S3	ENSG00000130741	0.96388	0.322	3.6078	0.067832	0.23713
OFD1	ENSG00000046651	0.95968	0.322	0.31954	0.17119	0.95308
NUP155	ENSG00000113569	0.65349	0.323	0.80795	0.21788	0.91594
SIX3	ENSG00000138083	0.94714	0.323	2.0739	0.0	0.58931
RBX1	ENSG00000100387	0.94689	0.323	2.3818	0.0	0.16906
DYRK1B	ENSG00000105204	0.96905	0.323	1.8452	0.12507	0.73492
CCAR2	ENSG00000158941	0.94099	0.323	0.73339	0.18504	0.9117
ZC3H7B	ENSG00000100403	0.92932	0.323	2.8673	0.19036	0.67716
FGF9	ENSG00000102678	0.94704	0.323	1.5424	0.0	0.59862
PRKRIR	ENSG00000137492	0.96834	0.323	2.3391	0.14117	0.66197
PVRL2	ENSG00000130202	0.96926	0.323	1.6425	0.12497	0.7433
CLTA	ENSG00000122705	0.96319	0.323	0.79917	0.068077	0.81258
SH2B1	ENSG00000178188	0.96861	0.323	0.69061	0.14106	0.90904
GLS	ENSG00000115419	0.96154	0.323	3.7308	0.16387	0.41415
ZKSCAN1	ENSG00000106261	0.96937	0.323	2.1168	0.12492	0.67339
SEMA6D	ENSG00000137872	0.93948	0.323	1.0786	0.18531	0.87635
IL13RA1	ENSG00000131724	0.96333	0.323	0.52199	0.068026	0.87556
ZCCHC8	ENSG00000033030	0.96584	0.323	2.0278	0.15369	0.70509
MAP3K8	ENSG00000107968	0.96825	0.323	2.291	0.10252	0.60848
BABAM1	ENSG00000105393	0.96269	0.324	1.1667	0.06825	0.76747
TSC22D2	ENSG00000196428	0.96853	0.324	0.70121	0.12531	0.90552
RAB3A	ENSG00000105649	0.9463	0.324	2.3244	0.0	0.4686
ZNF483	ENSG00000173258	0.96736	0.324	2.3954	0.14159	0.6566
CFH	ENSG00000000971	0.86061	0.324	0.99735	0.20396	0.89076
SEC16A	ENSG00000148396	0.36049	0.324	-0.4719	0.22675	1.0354
SFMBT1	ENSG00000163935	0.93588	0.324	2.0494	0.18594	0.73782
SLC5A3	ENSG00000198743	0.96739	0.324	2.7611	0.10292	0.61294
SLC5A3	ENSG00000272962	0.96739	0.324	2.7611	0.10292	0.61294
CDK13	ENSG00000065883	0.90753	0.324	2.3479	0.19587	0.74712
IGSF9B	ENSG00000080854	0.86551	0.324	2.5812	0.2036	0.75908
ACAP2	ENSG00000114331	0.92325	0.324	3.2192	0.19122	0.55079
MAP2K2	ENSG00000126934	0.96673	0.325	1.8655	0.10321	0.67416
PDCD10	ENSG00000114209	0.96197	0.325	1.434	0.068497	0.62819
DIS3L2	ENSG00000144535	0.944	0.325	0.94426	0.18027	0.88551
PDGFRB	ENSG00000113721	0.9041	0.325	1.8417	0.19624	0.80414
C19orf68	ENSG00000185453	0.96181	0.325	3.6769	0.06855	0.42043
ZFYVE9	ENSG00000157077	0.90244	0.325	1.7979	0.19642	0.81424
UTY	ENSG00000183878	0.96681	0.325	-0.16894	0.10317	1.0361
NCKAP1L	ENSG00000123338	0.85489	0.325	2.4765	0.20436	0.72259
BNC1	ENSG00000169594	0.96479	0.326	1.2039	0.14265	0.85193
LRRC25	ENSG00000175489	0.945	0.326	0.80658	0.0	0.83306
ABLIM1	ENSG00000099204	0.9301	0.326	1.6153	0.1869	0.79145
LHX6	ENSG00000106852	0.96572	0.326	2.9251	0.10365	0.45534
SLC20A2	ENSG00000168575	0.96545	0.326	2.6315	0.14239	0.6348
CLPTM1	ENSG00000104853	0.95767	0.326	2.9321	0.16508	0.60215
TRIM67	ENSG00000119283	0.96542	0.326	1.7402	0.1424	0.76277
CDC37L1	ENSG00000106993	0.96614	0.326	-0.13966	0.10347	1.0301
