human_ensembl_id,human_gene_name,lemur_ensembl_id
ENSG00000100142,POLR2F,ENSMICG00000013128
ENSG00000130700,GATA5,ENSMICG00000037048
ENSG00000207008,SNORA54,ENSMICG00000022054
ENSG00000083782,EPYC,ENSMICG00000017312
ENSG00000120251,GRIA2,ENSMICG00000006582
ENSG00000234776,FREY1,ENSMICG00000042017
ENSG00000222601,Y_RNA,ENSMICG00000041813
ENSG00000171456,ASXL1,ENSMICG00000038277
ENSG00000077458,FAM76B,ENSMICG00000036906
ENSG00000169884,WNT10B,ENSMICG00000011017
ENSG00000183977,PP2D1,ENSMICG00000048941
ENSG00000181418,DDN,ENSMICG00000032556
ENSG00000128228,SDF2L1,ENSMICG00000035267
ENSG00000139549,DHH,ENSMICG00000017549
ENSG00000164941,INTS8,ENSMICG00000015571
ENSG00000090776,EFNB1,ENSMICG00000026493
ENSG00000157152,SYN2,ENSMICG00000003565
ENSG00000207713,MIR200C,ENSMICG00000034684
ENSG00000238795,SCARNA12,ENSMICG00000024689
ENSG00000243420,RN7SL734P,ENSMICG00000035763
ENSG00000252858,RNU6-1271P,ENSMICG00000045409
ENSG00000118972,FGF23,ENSMICG00000041500
ENSG00000065923,SLC9A7,ENSMICG00000014592
ENSG00000135414,GDF11,ENSMICG00000030868
ENSG00000100221,JOSD1,ENSMICG00000045787
ENSG00000175602,CCDC85B,ENSMICG00000006912
ENSG00000175573,C11orf68,ENSMICG00000012852
ENSG00000175550,DRAP1,ENSMICG00000032164
ENSG00000111644,ACRBP,ENSMICG00000006616
ENSG00000198300,PEG3,ENSMICG00000027819
ENSG00000076770,MBNL3,ENSMICG00000032488
ENSG00000171540,OTP,ENSMICG00000030234
ENSG00000172348,RCAN2,ENSMICG00000030471
ENSG00000175315,CST6,ENSMICG00000017209
ENSG00000133710,SPINK5,ENSMICG00000010569
ENSG00000175294,CATSPER1,ENSMICG00000017211
ENSG00000112761,CCN6,ENSMICG00000008735
ENSG00000093009,CDC45,ENSMICG00000013589
ENSG00000170426,SDR9C7,ENSMICG00000041509
ENSG00000174871,CNIH2,ENSMICG00000028873
ENSG00000125812,GZF1,ENSMICG00000046070
ENSG00000206897,SNORA9B,ENSMICG00000024659
ENSG00000111358,GTF2H3,ENSMICG00000006482
ENSG00000179292,TMEM151A,ENSMICG00000008650
ENSG00000174807,CD248,ENSMICG00000032904
ENSG00000202317,RNU1-84P,ENSMICG00000019571
ENSG00000175115,PACS1,ENSMICG00000008585
ENSG00000172179,PRL,ENSMICG00000005849
ENSG00000222465,RNU2-5P,ENSMICG00000045423
ENSG00000198963,RORB,ENSMICG00000007512
ENSG00000144724,PTPRG,ENSMICG00000016378
ENSG00000125831,CST11,ENSMICG00000017904
ENSG00000131067,GGT7,ENSMICG00000004896
ENSG00000202360,RN7SKP249,ENSMICG00000019902
ENSG00000119121,TRPM6,ENSMICG00000007514
ENSG00000129152,MYOD1,ENSMICG00000005566
ENSG00000129159,KCNC1,ENSMICG00000005569
ENSG00000170881,RNF139,ENSMICG00000017479
ENSG00000147509,RGS20,ENSMICG00000015672
ENSG00000163376,KBTBD8,ENSMICG00000014192
ENSG00000087053,MTMR2,ENSMICG00000009395
ENSG00000121440,PDZRN3,ENSMICG00000028272
ENSG00000153347,FAM81B,ENSMICG00000006677
ENSG00000169083,AR,ENSMICG00000014721
ENSG00000272333,KMT2B,ENSMICG00000009928
ENSG00000061337,LZTS1,ENSMICG00000001804
ENSG00000152137,HSPB8,ENSMICG00000041616
ENSG00000173334,TRIB1,ENSMICG00000041712
ENSG00000242114,MTFP1,ENSMICG00000045562
ENSG00000081148,IMPG2,ENSMICG00000049387
ENSG00000183908,LRRC55,ENSMICG00000030806
ENSG00000101605,MYOM1,ENSMICG00000017883
ENSG00000240533,RN7SL69P,ENSMICG00000041936
ENSG00000156575,PRG3,ENSMICG00000040085
ENSG00000238457,RNU7-169P,ENSMICG00000047041
ENSG00000200475,RN7SKP162,ENSMICG00000030160
ENSG00000149599,DUSP15,ENSMICG00000027820
ENSG00000139330,KERA,ENSMICG00000000375
ENSG00000160183,TMPRSS3,ENSMICG00000005497
ENSG00000171365,CLCN5,ENSMICG00000002433
ENSG00000173486,FKBP2,ENSMICG00000016960
ENSG00000123066,MED13L,ENSMICG00000010953
ENSG00000131100,ATP6V1E1,ENSMICG00000010643
ENSG00000138472,GUCA1C,ENSMICG00000049237
ENSG00000102543,CDADC1,ENSMICG00000017527
ENSG00000251923,RNU6-276P,ENSMICG00000024617
ENSG00000250821,EXOC1L,ENSMICG00000043366
ENSG00000138675,FGF5,ENSMICG00000047847
ENSG00000202217,RN7SKP47,ENSMICG00000025706
ENSG00000135045,C9orf40,ENSMICG00000028036
ENSG00000249693,SPMAP2L,ENSMICG00000042879
ENSG00000170837,GPR27,ENSMICG00000032202
ENSG00000125821,DTD1,ENSMICG00000010771
ENSG00000110031,LPXN,ENSMICG00000001409
ENSG00000206530,CFAP44,ENSMICG00000049278
ENSG00000177098,SCN4B,ENSMICG00000036120
ENSG00000174473,GALNTL6,ENSMICG00000016455
ENSG00000177854,TMEM187,ENSMICG00000033392
ENSG00000101442,ACTR5,ENSMICG00000013239
ENSG00000004777,ARHGAP33,ENSMICG00000010004
ENSG00000139508,SLC46A3,ENSMICG00000016295
ENSG00000198759,EGFL6,ENSMICG00000026836
ENSG00000179058,C9orf50,ENSMICG00000038544
ENSG00000152705,CATSPER3,ENSMICG00000046332
ENSG00000239856,RN7SL225P,ENSMICG00000034399
ENSG00000149201,CCDC81,ENSMICG00000000948
ENSG00000114487,MORC1,ENSMICG00000049431
ENSG00000124212,PTGIS,ENSMICG00000017617
ENSG00000069011,PITX1,ENSMICG00000047012
ENSG00000130224,LRCH2,ENSMICG00000047056
ENSG00000182903,ZNF721,ENSMICG00000026956
ENSG00000198642,KLHL9,ENSMICG00000002688
ENSG00000136929,HEMGN,ENSMICG00000029755
ENSG00000181965,NEUROG1,ENSMICG00000043660
ENSG00000102452,NALCN,ENSMICG00000010714
ENSG00000100219,XBP1,ENSMICG00000004235
ENSG00000011083,SLC6A7,ENSMICG00000002824
ENSG00000199483,RNU4-15P,ENSMICG00000043074
ENSG00000124334,IL9R,ENSMICG00000034237
ENSG00000099889,ARVCF,ENSMICG00000015322
ENSG00000113262,GRM6,ENSMICG00000000566
ENSG00000137720,CFAP68,ENSMICG00000038156
ENSG00000104899,AMH,ENSMICG00000047953
ENSG00000088356,PDRG1,ENSMICG00000035838
ENSG00000102271,KLHL4,ENSMICG00000017361
ENSG00000163519,TRAT1,ENSMICG00000049400
ENSG00000223547,ZNF844,ENSMICG00000045859
ENSG00000251983,RN7SKP157,ENSMICG00000026133
ENSG00000205838,TTC23L,ENSMICG00000005657
ENSG00000152229,PSTPIP2,ENSMICG00000017499
ENSG00000201439,RNU4-67P,ENSMICG00000043307
ENSG00000205693,MANSC4,ENSMICG00000017687
ENSG00000088305,DNMT3B,ENSMICG00000006679
ENSG00000139445,FOXN4,ENSMICG00000017629
ENSG00000170819,BFSP2,ENSMICG00000049399
ENSG00000149133,OR5F1,ENSMICG00000028603
ENSG00000200274,RNU4-32P,ENSMICG00000046491
ENSG00000252192,,ENSMICG00000025806
ENSG00000173610,UGT2A1,ENSMICG00000037274
ENSG00000114125,RNF7,ENSMICG00000049320
ENSG00000184445,KNTC1,ENSMICG00000000331
ENSG00000174957,OR5J2,ENSMICG00000015266
ENSG00000180475,OR10Q1,ENSMICG00000043768
ENSG00000175745,NR2F1,ENSMICG00000005642
ENSG00000163421,PROK2,ENSMICG00000001127
ENSG00000128309,MPST,ENSMICG00000009041
ENSG00000141449,GREB1L,ENSMICG00000013562
ENSG00000168875,SOX14,ENSMICG00000049142
ENSG00000178338,ZNF354B,ENSMICG00000035274
ENSG00000152977,ZIC1,ENSMICG00000049488
ENSG00000182168,UNC5C,ENSMICG00000009052
ENSG00000070031,SCT,ENSMICG00000027911
ENSG00000206624,RNU1-39P,ENSMICG00000018651
ENSG00000069696,DRD4,ENSMICG00000001593
ENSG00000123728,RAP2C,ENSMICG00000037775
ENSG00000163590,PPM1L,ENSMICG00000049405
ENSG00000100084,HIRA,ENSMICG00000013496
ENSG00000169393,ELSPBP1,ENSMICG00000007142
ENSG00000252769,RNU6-943P,ENSMICG00000043144
ENSG00000208009,MIR130A,ENSMICG00000018091
ENSG00000277194,SNORD22,ENSMICG00000033977
ENSG00000278527,SNORD22,ENSMICG00000022574
ENSG00000163630,SYNPR,ENSMICG00000016442
ENSG00000276788,SNORD26,ENSMICG00000025970
ENSG00000136144,RCBTB1,ENSMICG00000006630
ENSG00000174358,SLC6A19,ENSMICG00000033849
ENSG00000166793,YPEL4,ENSMICG00000030565
ENSG00000126464,PRR12,ENSMICG00000032448
ENSG00000154640,BTG3,ENSMICG00000017785
ENSG00000198099,ADH4,ENSMICG00000006121
ENSG00000164363,SLC6A18,ENSMICG00000010877
ENSG00000198088,NUP62CL,ENSMICG00000009757
ENSG00000199975,RN7SKP243,ENSMICG00000023131
ENSG00000132205,EMILIN2,ENSMICG00000017574
ENSG00000284736,RNA5SP343,ENSMICG00000018846
ENSG00000175505,CLCF1,ENSMICG00000029277
ENSG00000177045,SIX5,ENSMICG00000042264
ENSG00000133135,RNF128,ENSMICG00000029901
ENSG00000141639,MAPK4,ENSMICG00000015044
ENSG00000207732,MIR218-1,ENSMICG00000018423
ENSG00000185774,KCNIP4,ENSMICG00000035356
ENSG00000238622,SNORD97,ENSMICG00000025810
ENSG00000171388,APLN,ENSMICG00000043883
ENSG00000160460,SPTBN4,ENSMICG00000034081
ENSG00000131808,FSHB,ENSMICG00000011542
ENSG00000090402,SI,ENSMICG00000049323
ENSG00000157625,TAB3,ENSMICG00000032994
ENSG00000185261,KIAA0825,ENSMICG00000000340
ENSG00000112077,RHAG,ENSMICG00000008366
ENSG00000167612,ANKRD33,ENSMICG00000016792
ENSG00000205867,KRTAP5-2,ENSMICG00000044655
ENSG00000197632,SERPINB2,ENSMICG00000016506
ENSG00000038382,TRIO,ENSMICG00000015477
ENSG00000161835,TAMALIN,ENSMICG00000016807
ENSG00000139826,ABHD13,ENSMICG00000045970
ENSG00000201733,,ENSMICG00000044320
ENSG00000032742,IFT88,ENSMICG00000004618
ENSG00000124479,NDP,ENSMICG00000034006
ENSG00000200090,Y_RNA,ENSMICG00000020064
ENSG00000252874,Y_RNA,ENSMICG00000046213
ENSG00000175536,LIPT2,ENSMICG00000045741
ENSG00000214827,MTCP1,ENSMICG00000037190
ENSG00000101138,CSTF1,ENSMICG00000004648
ENSG00000136011,STAB2,ENSMICG00000001977
ENSG00000142188,TMEM50B,ENSMICG00000037949
ENSG00000186907,RTN4RL2,ENSMICG00000030732
ENSG00000174343,CHRNA9,ENSMICG00000035894
ENSG00000018610,STEEP1,ENSMICG00000002760
ENSG00000156587,UBE2L6,ENSMICG00000034110
ENSG00000156140,ADAMTS3,ENSMICG00000003478
ENSG00000166974,MAPRE2,ENSMICG00000045555
ENSG00000120279,MYCT1,ENSMICG00000036362
ENSG00000244355,LY6G6D,ENSMICG00000028884
ENSG00000149575,SCN2B,ENSMICG00000048084
ENSG00000102385,DRP2,ENSMICG00000015568
ENSG00000274997,H2AC12,ENSMICG00000042676
ENSG00000137413,TAF8,ENSMICG00000031201
ENSG00000180425,C11orf71,ENSMICG00000010085
ENSG00000111412,SPRING1,ENSMICG00000010981
ENSG00000081051,AFP,ENSMICG00000005060
ENSG00000144962,SPATA16,ENSMICG00000049271
ENSG00000135116,HRK,ENSMICG00000028697
ENSG00000155307,SAMSN1,ENSMICG00000016350
ENSG00000133138,TBC1D8B,ENSMICG00000015655
ENSG00000241217,RN7SL809P,ENSMICG00000028163
ENSG00000252341,Y_RNA,ENSMICG00000024809
ENSG00000170374,SP7,ENSMICG00000038102
ENSG00000120451,SNX19,ENSMICG00000004802
ENSG00000156194,PPEF2,ENSMICG00000028039
ENSG00000241785,RN7SL390P,ENSMICG00000029106
ENSG00000199122,MIR148B,ENSMICG00000018133
ENSG00000239002,SCARNA10,ENSMICG00000026124
ENSG00000177694,NAALADL2,ENSMICG00000048670
ENSG00000101132,PFDN4,ENSMICG00000004651
ENSG00000207142,Y_RNA,ENSMICG00000022145
ENSG00000252886,RN7SKP197,ENSMICG00000025355
ENSG00000111725,PRKAB1,ENSMICG00000012419
ENSG00000163995,ABLIM2,ENSMICG00000005733
ENSG00000203872,C6orf163,ENSMICG00000042740
ENSG00000182566,CLEC4G,ENSMICG00000007511
ENSG00000156261,CCT8,ENSMICG00000002601
ENSG00000179300,RTL3,ENSMICG00000004901
ENSG00000169562,GJB1,ENSMICG00000014093
ENSG00000075043,KCNQ2,ENSMICG00000031055
ENSG00000187556,NANOS3,ENSMICG00000030950
ENSG00000103994,ZNF106,ENSMICG00000000803
ENSG00000175544,CABP4,ENSMICG00000004133
ENSG00000130270,ATP8B3,ENSMICG00000013417
ENSG00000135119,RNFT2,ENSMICG00000010987
ENSG00000085276,MECOM,ENSMICG00000049200
ENSG00000204979,MS4A13,ENSMICG00000015096
ENSG00000206881,RNU6-190P,ENSMICG00000047851
ENSG00000171444,MCC,ENSMICG00000013807
ENSG00000112137,PHACTR1,ENSMICG00000000165
ENSG00000124429,POF1B,ENSMICG00000005035
ENSG00000139190,VAMP1,ENSMICG00000006507
ENSG00000166670,MMP10,ENSMICG00000006282
ENSG00000197467,COL13A1,ENSMICG00000007401
ENSG00000168675,LDLRAD4,ENSMICG00000028394
ENSG00000178222,RNF212,ENSMICG00000047687
ENSG00000178026,LRRC75B,ENSMICG00000030419
ENSG00000205927,OLIG2,ENSMICG00000041942
ENSG00000212298,RNU6-1009P,ENSMICG00000033294
ENSG00000251788,RNU5A-7P,ENSMICG00000043005
ENSG00000200351,Y_RNA,ENSMICG00000024552
ENSG00000160190,SLC37A1,ENSMICG00000000053
ENSG00000215193,PEX26,ENSMICG00000037834
ENSG00000099822,HCN2,ENSMICG00000026521
ENSG00000204536,CCHCR1,ENSMICG00000001488
ENSG00000113712,CSNK1A1,ENSMICG00000027056
ENSG00000104177,MYEF2,ENSMICG00000014513
ENSG00000070388,FGF22,ENSMICG00000043398
ENSG00000130167,TSPAN16,ENSMICG00000042148
ENSG00000181215,C4orf50,ENSMICG00000046962
ENSG00000248771,SMIM31,ENSMICG00000046980
ENSG00000182518,VCF2,ENSMICG00000043344
ENSG00000134640,MTNR1B,ENSMICG00000043189
ENSG00000139220,PPFIA2,ENSMICG00000010822
ENSG00000196611,MMP1,ENSMICG00000006291
ENSG00000125650,PSPN,ENSMICG00000044211
ENSG00000102032,RENBP,ENSMICG00000033869
ENSG00000088247,KHSRP,ENSMICG00000007863
ENSG00000171053,PATE1,ENSMICG00000001520
ENSG00000196844,PATE2,ENSMICG00000002420
ENSG00000183864,TOB2,ENSMICG00000044468
ENSG00000184985,SORCS2,ENSMICG00000011732
ENSG00000017797,RALBP1,ENSMICG00000003325
ENSG00000126243,LRFN3,ENSMICG00000037020
ENSG00000236027,PATE3,ENSMICG00000041728
ENSG00000133103,COG6,ENSMICG00000001598
ENSG00000184117,NIPSNAP1,ENSMICG00000042066
ENSG00000101856,PGRMC1,ENSMICG00000004265
ENSG00000130477,UNC13A,ENSMICG00000036952
ENSG00000242976,RN7SL177P,ENSMICG00000027790
ENSG00000155511,GRIA1,ENSMICG00000003547
ENSG00000184507,NUTM1,ENSMICG00000004670
ENSG00000006118,TMEM132A,ENSMICG00000042560
ENSG00000199862,Y_RNA,ENSMICG00000047811
ENSG00000134160,TRPM1,ENSMICG00000012612
ENSG00000201264,SNORD73B,ENSMICG00000022678
ENSG00000208797,SNORD73A,ENSMICG00000044952
ENSG00000207153,RNU6-933P,ENSMICG00000043698
ENSG00000129749,CHRNA10,ENSMICG00000048048
ENSG00000253019,RN7SKP35,ENSMICG00000024702
ENSG00000150630,VEGFC,ENSMICG00000031537
ENSG00000102100,SLC35A2,ENSMICG00000005976
ENSG00000175040,CHST2,ENSMICG00000048867
ENSG00000238304,RNU7-50P,ENSMICG00000045802
ENSG00000100092,SH3BP1,ENSMICG00000003781
ENSG00000175077,RTP1,ENSMICG00000049280
ENSG00000187079,TEAD1,ENSMICG00000007178
ENSG00000121853,GHSR,ENSMICG00000049355
ENSG00000124466,LYPD3,ENSMICG00000009489
ENSG00000174948,GPR149,ENSMICG00000049352
ENSG00000109220,CHIC2,ENSMICG00000034358
ENSG00000118156,ZNF541,ENSMICG00000017737
ENSG00000180613,GSX2,ENSMICG00000027995
ENSG00000158258,CLSTN2,ENSMICG00000049019
ENSG00000160305,DIP2A,ENSMICG00000047083
ENSG00000177432,NAP1L5,ENSMICG00000030185
ENSG00000134440,NARS1,ENSMICG00000003077
ENSG00000276588,RN7SL322P,ENSMICG00000030504
ENSG00000174885,NLRP6,ENSMICG00000006315
ENSG00000136514,RTP4,ENSMICG00000048967
ENSG00000179846,NKPD1,ENSMICG00000030601
ENSG00000138246,DNAJC13,ENSMICG00000049364
ENSG00000206013,IFITM5,ENSMICG00000006334
ENSG00000243562,RN7SL838P,ENSMICG00000032360
ENSG00000161888,SPC24,ENSMICG00000045263
ENSG00000102753,KPNA3,ENSMICG00000006647
ENSG00000167749,KLK4,ENSMICG00000035746
ENSG00000171204,TMEM126B,ENSMICG00000029604
ENSG00000100418,DESI1,ENSMICG00000045578
ENSG00000145879,SPINK7,ENSMICG00000002552
ENSG00000204909,SPINK9,ENSMICG00000046265
ENSG00000099940,SNAP29,ENSMICG00000034792
ENSG00000230561,CCDC192,ENSMICG00000043066
ENSG00000147027,TMEM47,ENSMICG00000044159
ENSG00000080709,KCNN2,ENSMICG00000002012
ENSG00000176463,SLCO3A1,ENSMICG00000010035
ENSG00000151364,KCTD14,ENSMICG00000044183
ENSG00000155890,TRIM42,ENSMICG00000049317
ENSG00000172738,TMEM217,ENSMICG00000046679
ENSG00000145757,SPATA9,ENSMICG00000044517
ENSG00000196839,ADA,ENSMICG00000008277
ENSG00000122121,XPNPEP2,ENSMICG00000015814
ENSG00000166341,DCHS1,ENSMICG00000002145
ENSG00000166897,ELFN2,ENSMICG00000043745
ENSG00000284447,MIR9-2,ENSMICG00000018755
ENSG00000186431,FCAR,ENSMICG00000045090
ENSG00000125304,TM9SF2,ENSMICG00000015250
ENSG00000163638,ADAMTS9,ENSMICG00000043369
ENSG00000112303,VNN2,ENSMICG00000005236
ENSG00000099991,CABIN1,ENSMICG00000009743
ENSG00000239197,,ENSMICG00000024983
ENSG00000152377,SPOCK1,ENSMICG00000000619
ENSG00000216009,MIR874,ENSMICG00000018792
ENSG00000274197,U4,ENSMICG00000043330
ENSG00000176029,C11orf16,ENSMICG00000047044
ENSG00000164236,ANKRD33B,ENSMICG00000017147
ENSG00000189420,ZFP92,ENSMICG00000011893
ENSG00000223080,Y_RNA,ENSMICG00000020045
ENSG00000141448,GATA6,ENSMICG00000044131
ENSG00000184347,SLIT3,ENSMICG00000009033
ENSG00000123572,NRK,ENSMICG00000014358
ENSG00000158578,ALAS2,ENSMICG00000003435
ENSG00000213822,CEACAM18,ENSMICG00000028128
ENSG00000186496,ZNF396,ENSMICG00000017080
ENSG00000105672,ETV2,ENSMICG00000009896
ENSG00000198838,RYR3,ENSMICG00000005736
ENSG00000101624,CEP76,ENSMICG00000026464
ENSG00000180660,MAB21L1,ENSMICG00000043536
ENSG00000157343,ARMC12,ENSMICG00000035092
ENSG00000175066,GK5,ENSMICG00000049424
ENSG00000136104,RNASEH2B,ENSMICG00000000528
ENSG00000105668,UPK1A,ENSMICG00000009905
ENSG00000207739,MIR218-2,ENSMICG00000018359
ENSG00000207507,RNU6-9,ENSMICG00000043898
ENSG00000172232,AZU1,ENSMICG00000000954
ENSG00000196415,PRTN3,ENSMICG00000029299
ENSG00000197753,LHFPL5,ENSMICG00000002689
ENSG00000112679,DUSP22,ENSMICG00000011713
ENSG00000204950,LRRC10B,ENSMICG00000030558
ENSG00000178297,TMPRSS9,ENSMICG00000010010
ENSG00000149480,MTA2,ENSMICG00000044141
ENSG00000174013,FBXO45,ENSMICG00000049017
ENSG00000134265,NAPG,ENSMICG00000005831
ENSG00000182132,KCNIP1,ENSMICG00000012622
ENSG00000163961,RNF168,ENSMICG00000049458
ENSG00000149489,ROM1,ENSMICG00000041920
ENSG00000158290,CUL4B,ENSMICG00000014517
ENSG00000180611,MB21D2,ENSMICG00000048922
ENSG00000105708,ZNF14,ENSMICG00000027449
ENSG00000125741,OPA3,ENSMICG00000046590
ENSG00000185085,INTS5,ENSMICG00000009907
ENSG00000205835,GMNC,ENSMICG00000048624
ENSG00000284544,MIR330,ENSMICG00000036400
ENSG00000128271,ADORA2A,ENSMICG00000048104
ENSG00000105639,JAK3,ENSMICG00000034333
ENSG00000182836,PLCXD3,ENSMICG00000014443
ENSG00000173261,PLAC8L1,ENSMICG00000041566
ENSG00000079841,RIMS1,ENSMICG00000008520
ENSG00000281863,,ENSMICG00000038425
ENSG00000241082,RN7SL259P,ENSMICG00000028476
ENSG00000199815,,ENSMICG00000044986
ENSG00000212442,RNU6-243P,ENSMICG00000028710
ENSG00000207625,MIR128-2,ENSMICG00000018090
ENSG00000206939,RNU6-281P,ENSMICG00000048109
ENSG00000252008,RNU6-927P,ENSMICG00000045786
ENSG00000141384,TAF4B,ENSMICG00000007838
ENSG00000221633,U3,ENSMICG00000047967
ENSG00000165325,DEUP1,ENSMICG00000017876
ENSG00000173210,ABLIM3,ENSMICG00000002582
ENSG00000251751,RN7SKP46,ENSMICG00000024716
ENSG00000202125,RNU1-100P,ENSMICG00000025962
ENSG00000201778,Y_RNA,ENSMICG00000042133
ENSG00000222499,RN7SKP177,ENSMICG00000034763
ENSG00000252581,RNU6-1098P,ENSMICG00000045494
ENSG00000252082,RNU6-547P,ENSMICG00000045614
ENSG00000201860,Y_RNA,ENSMICG00000032688
ENSG00000201229,SNORA63D,ENSMICG00000020662
ENSG00000166979,EVA1C,ENSMICG00000038077
ENSG00000253092,,ENSMICG00000025494
ENSG00000207370,Y_RNA,ENSMICG00000045210
ENSG00000251730,,ENSMICG00000024762
ENSG00000187848,P2RX2,ENSMICG00000003948
ENSG00000207166,SNORA68,ENSMICG00000030839
ENSG00000199363,SNORA63E,ENSMICG00000022232
ENSG00000105641,SLC5A5,ENSMICG00000031990
ENSG00000252989,,ENSMICG00000025316
ENSG00000019995,ZRANB1,ENSMICG00000000273
ENSG00000158470,B4GALT5,ENSMICG00000036109
ENSG00000119938,PPP1R3C,ENSMICG00000043594
ENSG00000152778,IFIT5,ENSMICG00000047990
ENSG00000201554,Y_RNA,ENSMICG00000032897
ENSG00000128294,TPST2,ENSMICG00000013749
ENSG00000189430,NCR1,ENSMICG00000047579
ENSG00000154493,C10orf90,ENSMICG00000006223
ENSG00000253087,RNU6-1174P,ENSMICG00000021454
ENSG00000183389,OR56A4,ENSMICG00000045298
ENSG00000199321,,ENSMICG00000038663
ENSG00000101282,RSPO4,ENSMICG00000041462
ENSG00000252888,,ENSMICG00000025049
ENSG00000201047,Y_RNA,ENSMICG00000046600
ENSG00000148680,HTR7,ENSMICG00000011996
ENSG00000174937,OR5M3,ENSMICG00000041855
ENSG00000199032,MIR425,ENSMICG00000018776
ENSG00000207605,MIR191,ENSMICG00000018617
ENSG00000124159,MATN4,ENSMICG00000014207
ENSG00000160439,RDH13,ENSMICG00000033024
ENSG00000163634,THOC7,ENSMICG00000045229
ENSG00000176105,YES1,ENSMICG00000028620
ENSG00000127743,IL17B,ENSMICG00000002611
ENSG00000284182,MIR143,ENSMICG00000027080
ENSG00000276365,MIR145,ENSMICG00000018191
ENSG00000145860,RNF145,ENSMICG00000010048
ENSG00000156113,KCNMA1,ENSMICG00000010913
ENSG00000198585,NUDT16,ENSMICG00000049324
ENSG00000124440,HIF3A,ENSMICG00000016033
ENSG00000172367,NHERF4,ENSMICG00000002755
ENSG00000181744,DIPK2A,ENSMICG00000048950
ENSG00000207002,,ENSMICG00000021179
ENSG00000272166,,ENSMICG00000026404
ENSG00000221120,MIR1224,ENSMICG00000019156
ENSG00000164256,PRDM9,ENSMICG00000037613
ENSG00000160200,CBS,ENSMICG00000041663
ENSG00000022277,RTF2,ENSMICG00000034383
ENSG00000222249,RNU6-262P,ENSMICG00000045149
ENSG00000167791,CABP2,ENSMICG00000006052
ENSG00000163888,CAMK2N2,ENSMICG00000049125
ENSG00000251967,,ENSMICG00000048038
ENSG00000181585,TMIE,ENSMICG00000028660
ENSG00000199035,MIR103A1,ENSMICG00000036442
ENSG00000139372,TDG,ENSMICG00000002033
ENSG00000113448,PDE4D,ENSMICG00000014743
ENSG00000207512,Y_RNA,ENSMICG00000042905
ENSG00000172061,LRRC15,ENSMICG00000049528
ENSG00000154832,CXXC1,ENSMICG00000006424
ENSG00000185112,FAM43A,ENSMICG00000049270
ENSG00000188162,OTOG,ENSMICG00000005555
ENSG00000166147,FBN1,ENSMICG00000013056
ENSG00000222880,RN7SKP261,ENSMICG00000025738
ENSG00000134109,EDEM1,ENSMICG00000000246
ENSG00000139304,PTPRQ,ENSMICG00000038737
ENSG00000240626,RN7SL150P,ENSMICG00000028030
ENSG00000166359,WDR88,ENSMICG00000017262
ENSG00000241227,RN7SL553P,ENSMICG00000028893
ENSG00000130881,LRP3,ENSMICG00000032993
ENSG00000110244,APOA4,ENSMICG00000002332
ENSG00000168356,SCN11A,ENSMICG00000049555
ENSG00000149657,LSM14B,ENSMICG00000014675
ENSG00000165899,OTOGL,ENSMICG00000026871
ENSG00000077713,SLC25A43,ENSMICG00000043952
ENSG00000099998,GGT5,ENSMICG00000028818
ENSG00000181963,OR52K2,ENSMICG00000003760
ENSG00000076944,STXBP2,ENSMICG00000008236
ENSG00000147246,HTR2C,ENSMICG00000032281
ENSG00000196396,PTPN1,ENSMICG00000017702
ENSG00000170683,OR10A3,ENSMICG00000001166
ENSG00000089127,OAS1,ENSMICG00000032537
ENSG00000183087,GAS6,ENSMICG00000046084
ENSG00000184194,GPR173,ENSMICG00000042159
ENSG00000172987,HPSE2,ENSMICG00000000214
ENSG00000156504,PABIR2,ENSMICG00000006564
ENSG00000101104,PABPC1L,ENSMICG00000000974
ENSG00000023839,ABCC2,ENSMICG00000006689
ENSG00000177558,FAM187B,ENSMICG00000044100
ENSG00000187068,C3orf70,ENSMICG00000049150
ENSG00000163347,CLDN1,ENSMICG00000049297
ENSG00000179119,SPTY2D1,ENSMICG00000017602
ENSG00000187105,HEATR4,ENSMICG00000008517
ENSG00000174963,ZIC4,ENSMICG00000049129
ENSG00000205126,ACCSL,ENSMICG00000014661
ENSG00000273111,LYPD4,ENSMICG00000004542
ENSG00000142025,DMRTC2,ENSMICG00000004546
ENSG00000204272,NBDY,ENSMICG00000036898
ENSG00000052850,ALX4,ENSMICG00000048133
ENSG00000124743,KLHL31,ENSMICG00000016814
ENSG00000212464,SNORA12,ENSMICG00000020285
ENSG00000149968,MMP3,ENSMICG00000006301
ENSG00000107593,PKD2L1,ENSMICG00000015366
ENSG00000158352,SHROOM4,ENSMICG00000013797
ENSG00000178033,CALHM5,ENSMICG00000008119
ENSG00000164451,CALHM4,ENSMICG00000008123
ENSG00000268041,ERFL,ENSMICG00000009519
ENSG00000105369,CD79A,ENSMICG00000004558
ENSG00000088836,SLC4A11,ENSMICG00000013842
ENSG00000111335,OAS2,ENSMICG00000008532
ENSG00000202601,MIR582,ENSMICG00000019341
ENSG00000105392,CRX,ENSMICG00000042307
ENSG00000262406,MMP12,ENSMICG00000006319
ENSG00000251369,ZNF550,ENSMICG00000007561
ENSG00000165655,ZNF503,ENSMICG00000010900
ENSG00000158571,PFKFB1,ENSMICG00000003427
ENSG00000148655,LRMDA,ENSMICG00000010906
ENSG00000019505,SYT13,ENSMICG00000029048
ENSG00000120708,TGFBI,ENSMICG00000007294
